Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),Location,Month,Day,DayOfWeek,Season,Dispersion,AQI,AQI_Category
01-10-2025,39.76,107.76,27.69,3.92,0.55,33.02,21.51,59.6,0.41,192.96,Pune,1,10,4,Winter,8.8191,105.0,Moderate
01-10-2025,75.3,109.69,24.46,4.79,0.77,37.32,21.79,48.24,0.45,142.81,Latur,1,10,4,Winter,9.8055,150.0,Moderate
01-10-2025,67.25,111.8,9.19,3.93,0.74,27.01,24.18,59.25,2.96,110.88,Kolhapur,1,10,4,Winter,71.5728,122.0,Moderate
01-10-2025,52.23,98.34,11.16,14.65,0.49,58.69,23.75,47.0,0.36,162.9,Amravati,1,10,4,Winter,8.55,98.0,Satisfactory
01-10-2025,62.23,129.59,28.01,14.16,0.6,58.03,26.2,55.22,1.32,170.5,Ulhasnagar,1,10,4,Winter,34.584,120.0,Moderate
01-10-2025,57.81,170.02,11.82,6.42,0.45,85.11,25.27,54.64,1.13,124.71,Nanded,1,10,4,Winter,28.5551,147.0,Moderate
01-10-2025,86.8,142.75,45.86,2.24,1.08,84.35,21.05,56.48,1.22,160.52,Ahmednagar,1,10,4,Winter,25.681,189.0,Moderate
01-10-2025,84.9,136.0,50.09,3.09,0.97,16.48,23.91,55.41,1.7,157.04,Pimpri Chinchwad,1,10,4,Winter,40.647,183.0,Moderate
01-10-2025,66.75,126.91,33.13,2.28,0.76,30.45,26.76,44.87,1.29,227.05,Navi Mumbai,1,10,4,Winter,34.5204,121.0,Moderate
01-10-2025,46.25,131.04,31.2,9.98,0.57,62.85,28.3,63.95,0.6,114.55,Sangli,1,10,4,Winter,16.98,121.0,Moderate
01-11-2025,76.31,209.65,65.2374,3.23,1.65,17.77,25.15,69.78,0.2,145.21,Mumbai,1,11,5,Winter,5.03,173.0,Moderate
01-11-2025,92.3,147.8,34.93,1.47,0.65,31.14,22.65,69.67,2.12,236.19,Mira-Bhayandar,1,11,5,Winter,48.018,205.0,Poor
01-11-2025,97.2386,139.45,32.73,8.34,1.02,54.34,25.67,85.3,1.61,155.61,Virar,1,11,5,Winter,41.3287,222.0,Poor
01-11-2025,92.36,206.14,50.93,6.24,0.92,88.4306,26.06,64.07,1.69,268.89,Belapur,1,11,5,Winter,44.0414,206.0,Poor
01-11-2025,55.55,109.8,5.21,5.33,0.59,45.62,21.85,68.54,2.77,190.18,Dhule,1,11,5,Winter,60.5245,107.0,Moderate
01-11-2025,68.19,156.35,31.67,8.29,0.52,53.5,24.02,56.05,1.79,101.87,Bhiwandi,1,11,5,Winter,42.9958,138.0,Moderate
01-11-2025,58.04,117.09,15.48,7.83,0.81,10.87,19.14,90.02,0.57,206.31,Mahad,1,11,5,Winter,10.9098,112.0,Moderate
